,Date,User,Tweet
79,2023-04-06 02:56:57+00:00,LakersReporter,"Lakers just don't have legs. Defensively, where they've been near the top of the league since the trade deadline, they haven't been themselves. LAC now 9 for 14 from 3, and shooting 64.1% overall."
80,2023-04-06 02:37:04+00:00,LakersReporter,"LAL rallied from 12 down to take a short lead, but gave up the 6th and 7th 3's of the quarter to LAC, and find themselves down 37-31. LAC perimeter shooting isn't sustainable, but LAL gave up too many good looks. LAL also missed 4 of 6 FT attempts and turned it over 4 times."
81,2023-04-06 02:32:33+00:00,LakersReporter,"LAL, down 12 early, got B2B 3's from Russell and Brown to take a 26-25 lead late in the 1st Q."
82,2023-04-06 02:26:47+00:00,LakersReporter,"Lakers have settled in a bit after the scorching Clippers start, with a 7-0 run to cut the margin to 5 at 23-18."
83,2023-04-06 02:22:41+00:00,LakersReporter,"Lakers are happy to let Westbrook shoot, but he happens to be hitting everything to start, 3 for 3 on jumpers with 2 3's.

Westbrook shot 41.7% overall and 29.6% from 3 for LAL in 52 games this year, and 48.4% overall and 32.3% from 3 for the Clippers in 18 games."
84,2023-04-06 02:17:04+00:00,LakersReporter,"Clippers, up 15-3, have been sharper and more aggressive, with a ton more energy. 

Lakers landed at 3 a.m. from Utah last night, and are playing like it.

Clippers are 6 for 9 with 3 3's, and LAL 1 for 7 with several misses around the rim."
85,2023-04-06 02:01:36+00:00,LakersReporter,"While the Clippers haven't played since Saturday in a schedule quirk, the Lakers played both Sunday and Tuesday. 

LeBron has played 67 total minutes, and AD 72.

They'll both start alongside Russell, Reaves and Vanderbilt."
86,2023-04-06 01:18:37+00:00,LakersReporter,"Everybody is available for the Lakers, including LeBron, AD, Russell and Bamba."
87,2023-04-06 00:46:54+00:00,LakersReporter,"LeBron and AD are both true game-time decisions to play, said Darvin Ham.

With Russell and Bamba both “probable”, the expectation is they’ll be available, but no official word just yet."
88,2023-04-06 00:23:05+00:00,LakersReporter,"Ty Lue said that if AD plays, it’ll be harder for the Clippers to double him - as they have often in recent matchups - due to some of LAL’s new acquisitions in terms of shooting/spacing."
89,2023-04-05 20:01:08+00:00,LakersReporter,"Russell and Bamba are both probable to play tonight against the Clippers.

LeBron and AD are both questionable, and will likely be game-time decisions after testing things out at the arena."
90,2023-04-05 05:52:54+00:00,LakersReporter,"The Lakers don’t have the tiebreaker over LAC or MIN, so:

If LAC goes 3-0, they’re ahead of LAL; LAC 2-1, LAL need 3-0; LAC 1-2, LAL 2-1; LAC 0-3, LAL 1-2.

If MIN goes 2-0, LAL need 2-1; MIN 1-1, LAL 1-2; MIN 0-2, LAL would be higher."
91,2023-04-05 05:48:46+00:00,LakersReporter,"The Lakers own the tiebreaker over GSW and NOP, and thus would be the higher seed if they’re even in the loss column. 

- If GSW goes 2-0, LAL would need 3-0; GSW 1-1, LAL 2-1; GSW 0-2, LAL 1-2.
- If NOP goes 3-0, LAL need 2-1; NOP 2-1, LAL 1-2; NOP 1-2, LAL 0-3."
92,2023-04-05 04:36:39+00:00,LakersReporter,LeBron after a critical road win: 👇🏻👇🏻
93,2023-04-05 03:58:45+00:00,LakersReporter,"Darvin Ham said they’ll wait to evaluate LeBron, AD and Russell’s status for tomorrow’s B2B in the morning. It’ll be a late arrival after the flight from Utah.

LeBron and AD played significant minutes tonight in the front end of a B2B; Russell missed the game (foot soreness)."
94,2023-04-05 03:27:58+00:00,LakersReporter,"LeBron missed a left-handed layup he makes 90% of the time just ahead of the buzzer, and it's overtime.

Lakers couldn't have been in much better position than they were. Now they have to play an extra 5 minutes. LeBron's at 33 minutes, AD 37, Reaves 37, Schröder 37."
95,2023-04-05 03:26:23+00:00,LakersReporter,"LAL led 124-114 with 1:43 left when Reaves hit a 3. From then, a 10-0 Utah run:
- Agbaji transition 3
- Offensive foul on LeBron
- Dunn transition layup
- AD missed jumper
- Olynyk banked 3
- AD missed short J
- 2 Utah FT's"
96,2023-04-05 02:59:14+00:00,LakersReporter,"LAL led by 12 midway through the 3rd Q, before B2B 3's from Jazz center Damian Jones. Since then, Utah's outplayed LAL on both ends, and now lead 99-97 after a 6-0 start to the 4th Q. There's 9:52 to play in a critical game for the Lakers."
97,2023-04-05 02:51:50+00:00,LakersReporter,"Not a great 3rd Q for the Lakers, who had 7 points trimmed off their halftime lead.

It's 97-93 with 12 minutes to play."
98,2023-04-05 02:40:25+00:00,LakersReporter,"Reaves is OK and available to return. Got checked out in the back quickly after catching some contact to his left arm, but he's good to go."
99,2023-04-05 02:37:42+00:00,LakersReporter,"LAL made another push to get up 12, but former Lakers center Damian Jones hit a pair of 3's to help Utah cut the margin to 5.

Meanwhile, Austin Reaves is heading to the locker room after a collision appeared to shake him up."
